"wallet";"score";"daily_checkins"
"0x2db903ca511DCceF2D05B981cFF896785571CCEE";"32818";"2"
"0xEb45918A1efC99C84Fa337E36A2F84317a9DE1b8";"27143";"20"
"0x190063686cC52839e16c54f1789a86eA41ee52f4";"22745";"2"
"0xe256AC110DEF893a3216826aAC03ac565e64Cd40";"21547";"5"
"0x6ADEC666fcc7462a4b12E97928AC39a9DdbA93DF";"3225";"1"
"0xaB8EcB62D746cbe15A835652522cbAdf17fa0bfD";"1773";"1"
"0xCdbFDbf585A2045620B64615B3b6Cf026049830C";"1713";"0"
"0x7b67A29d1e9Fd5105bd75968d4Df22b6c543a444";"1395";"1"
"0x0345C0f94BfBb60f56340B64cf8b1FE613eaf4f6";"1203";"0"
"0xeC2403e5d34c2E816eFe58b5eE62B402f4A18ACF";"1051";"0"
"0x7EB0A796167694236044938DD63aFA7D0f8B0117";"742";"0"
"0x5cb26DBa85549163f851e19d24413273fb4493ac";"730";"0"
"0x38321a377d38748d0Bf7cd2106B0DaC67016Ad4e";"708";"0"
"0xa5e0938e000a3f6a78f178610b0eA3EbE4ef4243";"584";"0"
"0xBC57eb3b787aa22FD1fb9d8BA8314e6C66863439";"504";"1"
"0x7b92e59b2de9368e71843F9894eD63BfEEBaaEE7";"250";"4"
